antiques,ata
appliances,ppa
arts & crafts,ara
"atvs, utvs, snowmobiles",sna
auto parts,pta
baby & kid stuff,baa
barter,bar
bicycle parts,bip
bicycles,bia
boat parts & accessories,bpa
boats,boo
books & magazines,bka
business,bfa
cars & trucks,cta
cds / dvds / vhs,ema
cell phones,moa
clothing & accessories,cla
collectibles,cba
computer parts,syp
computers,sya
electronics,ela
farm & garden,gra
free stuff,zip
furniture,fua
garage & moving sales,gms
general for sale,foa
health and beauty,haa
heavy equipment,hva
household items,hsa
jewelry,jwa
materials,maa
motorcycle parts & accessories,mpa
motorcycles/scooters,mca
musical instruments,msa
photo/video,pha
recreational vehicles,rva
sporting goods,sga
tickets,tia
tools,tla
toys & games,taa
video gaming,vga
wanted,waa
